database,description
geneontology_Biological_Process_noRedundant,regulation of lipase activity
geneontology_Biological_Process_noRedundant,tube formation
geneontology_Biological_Process_noRedundant,vacuole organization
geneontology_Biological_Process_noRedundant,ERBB signaling pathway
geneontology_Biological_Process_noRedundant,regulation of vesicle-mediated transport
geneontology_Biological_Process_noRedundant,ossification
geneontology_Biological_Process_noRedundant,peptide cross-linking
geneontology_Biological_Process_noRedundant,TOR signaling
geneontology_Biological_Process_noRedundant,ameboidal-type cell migration
geneontology_Biological_Process_noRedundant,response to oxidative stress
geneontology_Biological_Process_noRedundant,ribonucleotide metabolic process
geneontology_Biological_Process_noRedundant,animal organ formation
geneontology_Biological_Process_noRedundant,vesicle localization
geneontology_Biological_Process_noRedundant,regulation of intracellular transport
geneontology_Biological_Process_noRedundant,response to pH
geneontology_Biological_Process_noRedundant,regulation of transporter activity
geneontology_Biological_Process_noRedundant,protein localization to vacuole
geneontology_Biological_Process_noRedundant,vasculogenesis
geneontology_Biological_Process_noRedundant,translational elongation
geneontology_Biological_Process_noRedundant,negative regulation of immune system process
geneontology_Biological_Process_noRedundant,regulation of immune effector process
geneontology_Biological_Process_noRedundant,interleukin-13 production
geneontology_Biological_Process_noRedundant,behavioral defense response
geneontology_Biological_Process_noRedundant,reactive nitrogen species metabolic process
geneontology_Biological_Process_noRedundant,regulation of protein complex assembly
geneontology_Biological_Process_noRedundant,membrane raft organization
geneontology_Biological_Process_noRedundant,somite development
geneontology_Biological_Process_noRedundant,protein activation cascade
geneontology_Biological_Process_noRedundant,protein acylation
geneontology_Biological_Process_noRedundant,nucleoside bisphosphate metabolic process
geneontology_Biological_Process_noRedundant,beta-catenin-TCF complex assembly
geneontology_Biological_Process_noRedundant,vesicle-mediated transport in synapse
geneontology_Biological_Process_noRedundant,peptidyl-threonine modification
geneontology_Biological_Process_noRedundant,multicellular organismal signaling
geneontology_Biological_Process_noRedundant,cytoskeleton-dependent intracellular transport
geneontology_Biological_Process_noRedundant,regulation of membrane potential
geneontology_Biological_Process_noRedundant,negative regulation of cytokine production
geneontology_Biological_Process_noRedundant,pharyngeal system development
geneontology_Biological_Process_noRedundant,sensory organ morphogenesis
geneontology_Biological_Process_noRedundant,mesoderm development
geneontology_Biological_Process_noRedundant,actin filament-based movement
geneontology_Biological_Process_noRedundant,dephosphorylation
geneontology_Biological_Process_noRedundant,organelle fusion
geneontology_Biological_Process_noRedundant,pteridine-containing compound metabolic process
geneontology_Biological_Process_noRedundant,coagulation
geneontology_Biological_Process_noRedundant,regulation of DNA-templated transcription in response to stress
geneontology_Biological_Process_noRedundant,monosaccharide metabolic process
geneontology_Biological_Process_noRedundant,response to metal ion
geneontology_Biological_Process_noRedundant,fluid transport
geneontology_Biological_Process_noRedundant,purine-containing compound biosynthetic process
geneontology_Biological_Process_noRedundant,regulation of small GTPase mediated signal transduction
geneontology_Biological_Process_noRedundant,regulation of neurotransmitter levels
geneontology_Biological_Process_noRedundant,vesicle-mediated transport to the plasma membrane
geneontology_Biological_Process_noRedundant,protein autophosphorylation
geneontology_Biological_Process_noRedundant,neurotransmitter transport
geneontology_Biological_Process_noRedundant,lymphocyte activation involved in immune response
geneontology_Biological_Process_noRedundant,detection of biotic stimulus
geneontology_Biological_Process_noRedundant,hippo signaling
geneontology_Biological_Process_noRedundant,liposaccharide metabolic process
geneontology_Biological_Process_noRedundant,vesicle organization
geneontology_Biological_Process_noRedundant,neuroinflammatory response
geneontology_Biological_Process_noRedundant,response to epidermal growth factor
geneontology_Biological_Process_noRedundant,ATP hydrolysis coupled cation transmembrane transport
geneontology_Biological_Process_noRedundant,cellular metabolic compound salvage
geneontology_Biological_Process_noRedundant,sodium ion transport
geneontology_Biological_Process_noRedundant,signal transduction by p53 class mediator
geneontology_Biological_Process_noRedundant,endosomal transport
geneontology_Biological_Process_noRedundant,ribose phosphate biosynthetic process
geneontology_Biological_Process_noRedundant,pyridine-containing compound metabolic process
geneontology_Biological_Process_noRedundant,metallo-sulfur cluster assembly
geneontology_Biological_Process_noRedundant,peroxisome organization
geneontology_Biological_Process_noRedundant,regulation of response to wounding
geneontology_Biological_Process_noRedundant,regulation of vasculature development
geneontology_Biological_Process_noRedundant,appendage development
geneontology_Biological_Process_noRedundant,protein ADP-ribosylation
geneontology_Biological_Process_noRedundant,response to axon injury
geneontology_Biological_Process_noRedundant,glutamate receptor signaling pathway
geneontology_Biological_Process_noRedundant,cortical cytoskeleton organization
geneontology_Biological_Process_noRedundant,angiogenesis
geneontology_Biological_Process_noRedundant,I-kappaB kinase/NF-kappaB signaling
geneontology_Biological_Process_noRedundant,glycoprotein metabolic process
geneontology_Biological_Process_noRedundant,signal transduction in response to DNA damage
geneontology_Biological_Process_noRedundant,response to BMP
geneontology_Biological_Process_noRedundant,cell redox homeostasis
geneontology_Biological_Process_noRedundant,cell communication by electrical coupling
geneontology_Biological_Process_noRedundant,cellular modified amino acid biosynthetic process
geneontology_Biological_Process_noRedundant,adaptation of signaling pathway
geneontology_Biological_Process_noRedundant,endoplasmic reticulum to cytosol transport
geneontology_Biological_Process_noRedundant,cellular response to inorganic substance
geneontology_Biological_Process_noRedundant,protein kinase A signaling
geneontology_Biological_Process_noRedundant,ear development
geneontology_Biological_Process_noRedundant,endothelium development
geneontology_Biological_Process_noRedundant,NADH dehydrogenase complex assembly
geneontology_Biological_Process_noRedundant,antibiotic metabolic process
geneontology_Biological_Process_noRedundant,cell-substrate adhesion
geneontology_Biological_Process_noRedundant,cellular carbohydrate metabolic process
geneontology_Biological_Process_noRedundant,regulation of protein localization to membrane
geneontology_Biological_Process_noRedundant,response to toxic substance
geneontology_Biological_Process_noRedundant,negative regulation of growth
geneontology_Biological_Process_noRedundant,mesenchyme development
geneontology_Biological_Process_noRedundant,peptidyl-serine modification
geneontology_Biological_Process_noRedundant,regulation of chemotaxis
geneontology_Biological_Process_noRedundant,cell chemotaxis
geneontology_Biological_Process_noRedundant,response to fibroblast growth factor
geneontology_Biological_Process_noRedundant,deoxyribose phosphate metabolic process
geneontology_Biological_Process_noRedundant,stem cell differentiation
geneontology_Biological_Process_noRedundant,antigen processing and presentation
geneontology_Biological_Process_noRedundant,detection of external stimulus
geneontology_Biological_Process_noRedundant,production of molecular mediator of immune response
geneontology_Biological_Process_noRedundant,cytochrome complex assembly
geneontology_Biological_Process_noRedundant,transcription by RNA polymerase III
geneontology_Biological_Process_noRedundant,regulation of protein stability
geneontology_Biological_Process_noRedundant,NIK/NF-kappaB signaling
geneontology_Biological_Process_noRedundant,organic cation transport
geneontology_Biological_Process_noRedundant,cellular response to vascular endothelial growth factor stimulus
geneontology_Biological_Process_noRedundant,epithelial cell apoptotic process
geneontology_Biological_Process_noRedundant,establishment of organelle localization
geneontology_Biological_Process_noRedundant,protein localization to cell periphery
geneontology_Biological_Process_noRedundant,nucleoside phosphate biosynthetic process
geneontology_Biological_Process_noRedundant,positive regulation of cellular protein localization
geneontology_Biological_Process_noRedundant,signal release
geneontology_Biological_Process_noRedundant,calcium ion regulated exocytosis
geneontology_Biological_Process_noRedundant,regulation of mitochondrion organization
geneontology_Biological_Process_noRedundant,intrinsic apoptotic signaling pathway
geneontology_Biological_Process_noRedundant,multicellular organismal response to stress
geneontology_Biological_Process_noRedundant,neuron projection organization
geneontology_Biological_Process_noRedundant,endomembrane system organization
geneontology_Biological_Process_noRedundant,muscle cell apoptotic process
geneontology_Biological_Process_noRedundant,vitamin metabolic process
geneontology_Biological_Process_noRedundant,regulation of metal ion transport
geneontology_Biological_Process_noRedundant,negative regulation of phosphorylation
geneontology_Biological_Process_noRedundant,endocrine system development
geneontology_Biological_Process_noRedundant,monovalent inorganic cation homeostasis
geneontology_Biological_Process_noRedundant,phospholipase C-activating G protein-coupled receptor signaling pathway
geneontology_Biological_Process_noRedundant,nucleus localization
geneontology_Biological_Process_noRedundant,response to nutrient levels
geneontology_Biological_Process_noRedundant,ensheathment of neurons
geneontology_Biological_Process_noRedundant,negative regulation of cellular protein localization
geneontology_Biological_Process_noRedundant,protein quality control for misfolded or incompletely synthesized proteins
geneontology_Biological_Process_noRedundant,adrenergic receptor signaling pathway
geneontology_Biological_Process_noRedundant,regulation of ion transmembrane transport
geneontology_Biological_Process_noRedundant,pigmentation
geneontology_Biological_Process_noRedundant,dendrite development
geneontology_Biological_Process_noRedundant,response to interferon-beta
geneontology_Biological_Process_noRedundant,ATP hydrolysis coupled transmembrane transport
geneontology_Biological_Process_noRedundant,regulation of postsynaptic membrane neurotransmitter receptor levels
geneontology_Biological_Process_noRedundant,regulation of response to extracellular stimulus
geneontology_Biological_Process_noRedundant,organophosphate catabolic process
geneontology_Biological_Process_noRedundant,Golgi vesicle transport
geneontology_Biological_Process_noRedundant,peptide catabolic process
geneontology_Biological_Process_noRedundant,cilium or flagellum-dependent cell motility
geneontology_Biological_Process_noRedundant,gliogenesis
geneontology_Biological_Process_noRedundant,regulation of body fluid levels
geneontology_Biological_Process_noRedundant,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"
geneontology_Biological_Process_noRedundant,microtubule cytoskeleton organization involved in mitosis
geneontology_Biological_Process_noRedundant,regulation of plasma lipoprotein particle levels
geneontology_Biological_Process_noRedundant,regulation of organelle assembly
geneontology_Biological_Process_noRedundant,cytoplasmic microtubule organization
geneontology_Biological_Process_noRedundant,hormone transport
geneontology_Biological_Process_noRedundant,regulation of GTPase activity
geneontology_Biological_Process_noRedundant,cell-cell signaling by wnt
geneontology_Biological_Process_noRedundant,regulation of protein modification by small protein conjugation or removal
geneontology_Biological_Process_noRedundant,lipid homeostasis
geneontology_Biological_Process_noRedundant,detection of abiotic stimulus
geneontology_Biological_Process_noRedundant,cell growth
geneontology_Biological_Process_noRedundant,movement in environment of other organism involved in symbiotic interaction
geneontology_Biological_Process_noRedundant,cell cycle G2/M phase transition
geneontology_Biological_Process_noRedundant,platelet-derived growth factor receptor signaling pathway
geneontology_Biological_Process_noRedundant,lymph vessel development
geneontology_Biological_Process_noRedundant,cell cycle G1/S phase transition
geneontology_Biological_Process_noRedundant,mechanoreceptor differentiation
geneontology_Biological_Process_noRedundant,neuron projection fasciculation
geneontology_Biological_Process_noRedundant,sleep
geneontology_Biological_Process_noRedundant,cellular component maintenance
geneontology_Biological_Process_noRedundant,"DNA damage response, detection of DNA damage"
geneontology_Biological_Process_noRedundant,extracellular vesicle biogenesis
geneontology_Biological_Process_noRedundant,proteasomal protein catabolic process
geneontology_Biological_Process_noRedundant,response to transforming growth factor beta
geneontology_Biological_Process_noRedundant,regulation of carbohydrate metabolic process
geneontology_Biological_Process_noRedundant,lipoprotein metabolic process
geneontology_Biological_Process_noRedundant,response to virus
geneontology_Biological_Process_noRedundant,membrane fusion
geneontology_Biological_Process_noRedundant,protein targeting
geneontology_Biological_Process_noRedundant,protein autoubiquitination
geneontology_Biological_Process_noRedundant,morphogenesis of a branching structure
geneontology_Biological_Process_noRedundant,regulation of ATPase activity
geneontology_Biological_Process_noRedundant,muscle system process
geneontology_Biological_Process_noRedundant,deoxyribonucleotide metabolic process
geneontology_Biological_Process_noRedundant,myeloid cell apoptotic process
geneontology_Biological_Process_noRedundant,actin cytoskeleton reorganization
geneontology_Biological_Process_noRedundant,foam cell differentiation
geneontology_Biological_Process_noRedundant,response to carbohydrate
geneontology_Biological_Process_noRedundant,chaperone-mediated protein complex assembly
geneontology_Biological_Process_noRedundant,synaptic vesicle cycle
geneontology_Biological_Process_noRedundant,hormone metabolic process
geneontology_Biological_Process_noRedundant,negative regulation of cellular component movement
geneontology_Biological_Process_noRedundant,positive regulation of secretion
geneontology_Biological_Process_noRedundant,lipid localization
geneontology_Biological_Process_noRedundant,peptidyl-glutamic acid modification
geneontology_Biological_Process_noRedundant,interferon-gamma production
geneontology_Biological_Process_noRedundant,cardiac chamber development
geneontology_Biological_Process_noRedundant,face development
geneontology_Biological_Process_noRedundant,renal system process
geneontology_Biological_Process_noRedundant,regulation of hemopoiesis
geneontology_Biological_Process_noRedundant,cell killing
geneontology_Biological_Process_noRedundant,cytokine secretion
geneontology_Biological_Process_noRedundant,sensory system development
geneontology_Biological_Process_noRedundant,DNA recombination
geneontology_Biological_Process_noRedundant,membrane docking
geneontology_Biological_Process_noRedundant,protein maturation
geneontology_Biological_Process_noRedundant,organ growth
geneontology_Biological_Process_noRedundant,positive regulation of defense response
geneontology_Biological_Process_noRedundant,response to interferon-alpha
geneontology_Biological_Process_noRedundant,peptidyl-tyrosine modification
geneontology_Biological_Process_noRedundant,cell-cell adhesion via plasma-membrane adhesion molecules
geneontology_Biological_Process_noRedundant,neuropeptide signaling pathway
geneontology_Biological_Process_noRedundant,transposition
geneontology_Biological_Process_noRedundant,biomineral tissue development
geneontology_Biological_Process_noRedundant,positive regulation of cell motility
geneontology_Biological_Process_noRedundant,protein hydroxylation
geneontology_Biological_Process_noRedundant,interleukin-17 production
geneontology_Biological_Process_noRedundant,protein dealkylation
geneontology_Biological_Process_noRedundant,gland development
geneontology_Biological_Process_noRedundant,protein kinase C-activating G protein-coupled receptor signaling pathway
geneontology_Biological_Process_noRedundant,posttranscriptional regulation of gene expression
geneontology_Biological_Process_noRedundant,response to estrogen
geneontology_Biological_Process_noRedundant,positive regulation of ion transport
geneontology_Biological_Process_noRedundant,endocrine process
geneontology_Biological_Process_noRedundant,spindle localization
geneontology_Biological_Process_noRedundant,Ras protein signal transduction
geneontology_Biological_Process_noRedundant,inositol lipid-mediated signaling
geneontology_Biological_Process_noRedundant,regulation of inflammatory response
geneontology_Biological_Process_noRedundant,regulation of response to cytokine stimulus
geneontology_Biological_Process_noRedundant,pattern specification process
geneontology_Biological_Process_noRedundant,organic acid transport
geneontology_Biological_Process_noRedundant,positive regulation of transmembrane transport
geneontology_Biological_Process_noRedundant,regulation of innate immune response
geneontology_Biological_Process_noRedundant,demethylation
geneontology_Biological_Process_noRedundant,developmental induction
geneontology_Biological_Process_noRedundant,neuron projection guidance
geneontology_Biological_Process_noRedundant,cofactor transport
geneontology_Biological_Process_noRedundant,negative regulation of transferase activity
geneontology_Biological_Process_noRedundant,response to xenobiotic stimulus
geneontology_Biological_Process_noRedundant,response to interferon-gamma
geneontology_Biological_Process_noRedundant,protein exit from endoplasmic reticulum
geneontology_Biological_Process_noRedundant,peptidyl-lysine modification
geneontology_Biological_Process_noRedundant,interleukin-1 production
geneontology_Biological_Process_noRedundant,epithelial cell development
geneontology_Biological_Process_noRedundant,carbohydrate biosynthetic process
geneontology_Biological_Process_noRedundant,carbohydrate catabolic process
geneontology_Biological_Process_noRedundant,monoamine transport
geneontology_Biological_Process_noRedundant,positive regulation of proteolysis
geneontology_Biological_Process_noRedundant,methylation
geneontology_Biological_Process_noRedundant,negative regulation of locomotion
geneontology_Biological_Process_noRedundant,membrane invagination
geneontology_Biological_Process_noRedundant,regulation of cell morphogenesis
geneontology_Biological_Process_noRedundant,microvillus organization
geneontology_Biological_Process_noRedundant,response to antibiotic
geneontology_Biological_Process_noRedundant,peroxisomal transport
geneontology_Biological_Process_noRedundant,hormone-mediated signaling pathway
geneontology_Biological_Process_noRedundant,regulation of cell projection assembly
geneontology_Biological_Process_noRedundant,multicellular organismal homeostasis
geneontology_Biological_Process_noRedundant,brain morphogenesis
geneontology_Biological_Process_noRedundant,potassium ion transport
geneontology_Biological_Process_noRedundant,heart valve development
geneontology_Biological_Process_noRedundant,regulation of trans-synaptic signaling
geneontology_Biological_Process_noRedundant,protein localization to cilium
geneontology_Biological_Process_noRedundant,myeloid cell differentiation
geneontology_Biological_Process_noRedundant,RNA capping
geneontology_Biological_Process_noRedundant,muscle cell differentiation
geneontology_Biological_Process_noRedundant,protein modification by small protein removal
geneontology_Biological_Process_noRedundant,sex determination
geneontology_Biological_Process_noRedundant,in utero embryonic development
geneontology_Biological_Process_noRedundant,developmental maturation
geneontology_Biological_Process_noRedundant,regulation of response to DNA damage stimulus
geneontology_Biological_Process_noRedundant,STAT cascade
geneontology_Biological_Process_noRedundant,morphogenesis of an epithelium
geneontology_Biological_Process_noRedundant,vascular endothelial growth factor production
geneontology_Biological_Process_noRedundant,acute inflammatory response
geneontology_Biological_Process_noRedundant,embryonic organ development
geneontology_Biological_Process_noRedundant,gastrulation
geneontology_Biological_Process_noRedundant,regulation of cyclase activity
geneontology_Biological_Process_noRedundant,regulation of membrane permeability
geneontology_Biological_Process_noRedundant,regulation of membrane lipid distribution
geneontology_Biological_Process_noRedundant,ruffle organization
geneontology_Biological_Process_noRedundant,proton transmembrane transport
geneontology_Biological_Process_noRedundant,body morphogenesis
geneontology_Biological_Process_noRedundant,regulation of reproductive process
geneontology_Biological_Process_noRedundant,response to molecule of bacterial origin
geneontology_Biological_Process_noRedundant,exocrine system development
geneontology_Biological_Process_noRedundant,spinal cord development
geneontology_Biological_Process_noRedundant,extracellular regulation of signal transduction
geneontology_Biological_Process_noRedundant,ER-nucleus signaling pathway
geneontology_Biological_Process_noRedundant,organic anion transport
geneontology_Biological_Process_noRedundant,maintenance of cell number
geneontology_Biological_Process_noRedundant,negative regulation of hydrolase activity
geneontology_Biological_Process_noRedundant,regulation of oxidoreductase activity
geneontology_Biological_Process_noRedundant,modification of morphology or physiology of other organism
geneontology_Biological_Process_noRedundant,negative regulation of intracellular signal transduction
geneontology_Biological_Process_noRedundant,vascular endothelial growth factor receptor signaling pathway
geneontology_Biological_Process_noRedundant,phagocytosis
geneontology_Biological_Process_noRedundant,regulation of defense response to virus by virus
geneontology_Biological_Process_noRedundant,developmental growth involved in morphogenesis
geneontology_Biological_Process_noRedundant,cytokinesis
geneontology_Biological_Process_noRedundant,response to dsRNA
geneontology_Biological_Process_noRedundant,polysaccharide metabolic process
geneontology_Biological_Process_noRedundant,respiratory burst
geneontology_Biological_Process_noRedundant,cell cycle checkpoint
geneontology_Biological_Process_noRedundant,muscle cell proliferation
geneontology_Biological_Process_noRedundant,regulation of neurotransmitter receptor activity
geneontology_Biological_Process_noRedundant,cellular response to drug
geneontology_Biological_Process_noRedundant,epithelial cell proliferation
geneontology_Biological_Process_noRedundant,isoprenoid metabolic process
geneontology_Biological_Process_noRedundant,response to organophosphorus
geneontology_Biological_Process_noRedundant,negative regulation of nervous system development
geneontology_Biological_Process_noRedundant,mitochondrial RNA metabolic process
geneontology_Biological_Process_noRedundant,mitochondrion morphogenesis
geneontology_Biological_Process_noRedundant,regulation of lyase activity
geneontology_Biological_Process_noRedundant,response to mechanical stimulus
geneontology_Biological_Process_noRedundant,interleukin-5 production
geneontology_Biological_Process_noRedundant,pyruvate metabolic process
geneontology_Biological_Process_noRedundant,protein localization to mitochondrion
geneontology_Biological_Process_noRedundant,regulation of chromosome organization
geneontology_Biological_Process_noRedundant,negative regulation of transport
geneontology_Biological_Process_noRedundant,response to antineoplastic agent
geneontology_Biological_Process_noRedundant,regulation of microtubule-based process
geneontology_Biological_Process_noRedundant,protein kinase B signaling
geneontology_Biological_Process_noRedundant,hepaticobiliary system development
geneontology_Biological_Process_noRedundant,carbohydrate derivative transport
geneontology_Biological_Process_noRedundant,response to steroid hormone
geneontology_Biological_Process_noRedundant,nucleoside triphosphate metabolic process
geneontology_Biological_Process_noRedundant,regulation of neuron projection development
geneontology_Biological_Process_noRedundant,filopodium assembly
geneontology_Biological_Process_noRedundant,negative regulation of cell development
geneontology_Biological_Process_noRedundant,establishment or maintenance of cell polarity
geneontology_Biological_Process_noRedundant,regulation of peptidase activity
geneontology_Biological_Process_noRedundant,CENP-A containing chromatin organization
geneontology_Biological_Process_noRedundant,regulation of apoptotic signaling pathway
geneontology_Biological_Process_noRedundant,regulation of peptide secretion
geneontology_Biological_Process_noRedundant,axon development
geneontology_Biological_Process_noRedundant,response to platelet-derived growth factor
geneontology_Biological_Process_noRedundant,regulation of binding
geneontology_Biological_Process_noRedundant,"chemical synaptic transmission, postsynaptic"
geneontology_Biological_Process_noRedundant,sulfur compound transport
geneontology_Biological_Process_noRedundant,cellular response to external stimulus
geneontology_Biological_Process_noRedundant,microtubule anchoring
geneontology_Biological_Process_noRedundant,response to interleukin-4
geneontology_Biological_Process_noRedundant,spindle organization
geneontology_Biological_Process_noRedundant,inclusion body assembly
geneontology_Biological_Process_noRedundant,anoikis
geneontology_Biological_Process_noRedundant,stem cell proliferation
geneontology_Biological_Process_noRedundant,response to fluid shear stress
geneontology_Biological_Process_noRedundant,DNA catabolic process
geneontology_Biological_Process_noRedundant,necrotic cell death
geneontology_Biological_Process_noRedundant,regulation of cellular amide metabolic process
geneontology_Biological_Process_noRedundant,protein tetramerization
geneontology_Biological_Process_noRedundant,microtubule polymerization or depolymerization
geneontology_Biological_Process_noRedundant,response to leptin
geneontology_Biological_Process_noRedundant,extrinsic apoptotic signaling pathway
geneontology_Biological_Process_noRedundant,response to type I interferon
geneontology_Biological_Process_noRedundant,response to ischemia
geneontology_Biological_Process_noRedundant,lysosome localization
geneontology_Biological_Process_noRedundant,negative regulation of proteolysis
geneontology_Biological_Process_noRedundant,regulation of epithelial cell differentiation
geneontology_Biological_Process_noRedundant,positive regulation of establishment of protein localization
geneontology_Biological_Process_noRedundant,response to electrical stimulus
geneontology_Biological_Process_noRedundant,regulation of anion transport
geneontology_Biological_Process_noRedundant,response to osmotic stress
geneontology_Biological_Process_noRedundant,amine transport
geneontology_Biological_Process_noRedundant,hindbrain development
geneontology_Biological_Process_noRedundant,gene silencing
geneontology_Biological_Process_noRedundant,anion homeostasis
geneontology_Biological_Process_noRedundant,forebrain development
geneontology_Biological_Process_noRedundant,mesenchymal cell proliferation
geneontology_Biological_Process_noRedundant,protein heterooligomerization
geneontology_Biological_Process_noRedundant,positive regulation of cell projection organization
geneontology_Biological_Process_noRedundant,response to acid chemical
geneontology_Biological_Process_noRedundant,microtubule-based movement
geneontology_Biological_Process_noRedundant,pancreas development
geneontology_Biological_Process_noRedundant,response to temperature stimulus
geneontology_Biological_Process_noRedundant,response to interleukin-1
geneontology_Biological_Process_noRedundant,fatty acid derivative transport
geneontology_Biological_Process_noRedundant,maintenance of location
geneontology_Biological_Process_noRedundant,podosome assembly
geneontology_Biological_Process_noRedundant,response to purine-containing compound
geneontology_Biological_Process_noRedundant,drug transport
geneontology_Biological_Process_noRedundant,protein-containing complex localization
geneontology_Biological_Process_noRedundant,response to monoamine
geneontology_Biological_Process_noRedundant,trabecula morphogenesis
geneontology_Biological_Process_noRedundant,water homeostasis
geneontology_Biological_Process_noRedundant,tumor necrosis factor superfamily cytokine production
geneontology_Biological_Process_noRedundant,multi-multicellular organism process
geneontology_Biological_Process_noRedundant,positive regulation of signaling receptor activity
geneontology_Biological_Process_noRedundant,negative regulation of mitotic cell cycle
geneontology_Biological_Process_noRedundant,membrane biogenesis
